,customerid,balance,numofproducts,hascrcard,tenure,isactivemember,exited,surname,creditscore,geography,gender,age,estimatedsalary,age_group,estimatedsalary_group,saving,saving_group,creditscore_group,numofproducts_scale,creditscore_scale,age_scale,gender_scale,geography_germany,geography_spain,age_group_21-23,age_group_24-31,age_group_32-44,age_group_45-60,age_group_above 60,numofprocucts_2,numofprocucts_3,numofprocucts_4,saving_group_below 50k,saving_group_50k-100k,saving_group_100k-150k,saving_group_150k-200k,saving_group_above 200k,credit_score_group_650-700,credit_score_group_above 700,stay_proba,exit_proba,predicted
0,15634602,0.0,1,1,2,1,1,Hargrave,619,france,female,42,101348.88,32-44,100k-150k,0,no saving,below 650,0.0,0.5379999999999999,0.3243243243243243,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.6728060962504461,0.327193903749554,0.0
1,15647311,83807.86,1,1,1,1,0,Hill,608,spain,female,41,112542.58,32-44,100k-150k,1,50k-100k,below 650,0.0,0.5159999999999999,0.3108108108108108,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0.7203088688879955,0.2796911311120045,0.0
2,15619304,159660.8,3,0,8,0,1,Onio,502,france,female,42,113931.57,32-44,100k-150k,1,150k-200k,below 650,0.6666666666666667,0.30399999999999994,0.3243243243243243,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0.06881873976852637,0.9311812602314736,1.0
3,15701354,0.0,2,0,1,0,0,Boni,699,france,female,39,93826.63,32-44,50k-100k,0,no saving,650-700,0.3333333333333333,0.6980000000000001,0.2837837837837838,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0.8130982037895377,0.18690179621046235,0.0
4,15737888,125510.82,1,1,2,1,0,Mitchell,850,spain,female,43,79084.1,32-44,50k-100k,1,100k-150k,above 700,0.0,0.9999999999999999,0.3378378378378379,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0.6471040419284344,0.35289595807156565,0.0
5,15574012,113755.78,2,0,8,0,1,Chu,645,spain,male,44,149756.71,32-44,100k-150k,1,100k-150k,below 650,0.3333333333333333,0.59,0.35135135135135137,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0.7696927234659976,0.23030727653400243,0.0
6,15592531,0.0,2,1,7,1,0,Bartlett,822,france,male,50,10062.8,45-60,1k-20k,0,no saving,above 700,0.3333333333333333,0.9440000000000001,0.4324324324324324,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0.6288269678187767,0.37117303218122333,0.0
7,15656148,115046.74,4,0,4,0,1,Obinna,376,germany,female,29,119346.88,24-31,100k-150k,1,100k-150k,below 650,1.0,0.051999999999999935,0.14864864864864863,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0.026309178194622862,0.9736908218053771,1.0
8,15792365,142051.07,2,1,4,1,0,He,501,france,male,44,74940.5,32-44,50k-100k,1,100k-150k,below 650,0.3333333333333333,0.30199999999999994,0.35135135135135137,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0.8950646340774554,0.10493536592254463,0.0
9,15592389,134603.88,1,1,2,1,0,H?,684,france,male,27,71725.73,24-31,50k-100k,1,100k-150k,650-700,0.0,0.668,0.12162162162162166,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0.8440988888049195,0.15590111119508054,0.0
10,15767821,102016.72,2,0,6,0,0,Bearce,528,france,male,31,80181.12,24-31,50k-100k,1,100k-150k,below 650,0.3333333333333333,0.356,0.1756756756756757,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0.8913125549514793,0.10868744504852071,0.0
11,15737173,0.0,2,0,3,0,0,Andrews,497,spain,male,24,76390.01,24-31,50k-100k,0,no saving,below 650,0.3333333333333333,0.29399999999999993,0.08108108108108109,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.8726044823497815,0.12739551765021848,0.0
12,15632264,0.0,2,0,10,0,0,Kay,476,france,female,34,26260.98,32-44,20k-50k,0,no saving,below 650,0.3333333333333333,0.252,0.21621621621621623,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0.7725267917427954,0.22747320825720457,0.0
13,15691483,0.0,2,0,5,0,0,Chin,549,france,female,25,190857.79,24-31,150k-200k,0,no saving,below 650,0.3333333333333333,0.398,0.09459459459459457,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.8792121498970021,0.12078785010299786,0.0
14,15600882,0.0,2,1,7,1,0,Scott,635,spain,female,35,65951.65,32-44,50k-100k,0,no saving,below 650,0.3333333333333333,0.57,0.22972972972972977,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0.8926744972252019,0.10732550277479809,0.0
15,15643966,143129.41,2,1,3,1,0,Goforth,616,germany,male,45,64327.26,45-60,50k-100k,1,100k-150k,below 650,0.3333333333333333,0.5319999999999999,0.36486486486486486,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0.40872648202710027,0.5912735179728997,0.0
16,15737452,132602.88,1,0,1,0,1,Romeo,653,germany,male,58,5097.67,45-60,1k-20k,1,100k-150k,650-700,0.0,0.606,0.5405405405405406,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0.0623789459164914,0.9376210540835086,1.0
17,15788218,0.0,2,1,9,1,0,Henderson,549,spain,female,24,14406.41,24-31,1k-20k,0,no saving,below 650,0.3333333333333333,0.398,0.08108108108108109,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.9488032459781054,0.05119675402189462,0.0
